"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"72","Normal/Others","WS/MP193/2023-2024/2670-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Swami Vivekanand Park Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","222549"
"73","Normal/Others","WS/MP193/2023-2024/2671-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Chatrapati Shivaji Chowk 80 foota Road Vikram Enclave Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","218760"
"74","Normal/Others","WS/MP023/2023-2024/16153-Construction of culverts and bridges","Andhra Pradesh","SRIKAKULAM(District Collector Srikakulam_IDA)","Construction of Pipe Culverts and Protection wall to Sobhandri Tank in Syrigam Village and Gram Panchayat Jalumuru Mandal in Srikakulam District. (269)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","N/A","16-Sep-2023","750000"
"75","Normal/Others","WS/MP070/2023-2024/7193-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","?????? ???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","30-Oct-2023","400000"
"76","Normal/Others","WS/MP070/2023-2024/7191-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","??????? ???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"77","Normal/Others","WS/MP070/2023-2024/7189-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"78","Normal/Others","WS/MP070/2023-2024/7190-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"79","Normal/Others","WS/MP070/2023-2024/7192-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","????????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"80","Normal/Others","WS/MP070/2023-2024/7182-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"81","Normal/Others","WS/MP070/2023-2024/7179-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"82","Normal/Others","WS/MP070/2023-2024/7180-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","23-Jun-2025","400000"
"83","Normal/Others","WS/MP070/2023-2024/7181-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"84","Normal/Others","WS/MP070/2023-2024/7176-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"85","Normal/Others","WS/MP070/2023-2024/7177-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"86","Normal/Others","WS/MP070/2023-2024/7178-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"87","Normal/Others","WS/MP070/2023-2024/7170-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"88","Normal/Others","WS/MP070/2023-2024/7171-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"89","Normal/Others","WS/MP070/2023-2024/7172-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"90","Normal/Others","WS/MP070/2023-2024/7173-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"91","Normal/Others","WS/MP070/2023-2024/7174-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"92","Normal/Others","WS/MP070/2023-2024/7175-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"93","Normal/Others","WS/MP070/2023-2024/7169-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","09-Dec-2023","400000"
"94","Normal/Others","WS/MP070/2023-2024/7167-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"95","Normal/Others","WS/MP070/2023-2024/7163-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"96","Normal/Others","WS/MP070/2023-2024/7164-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"97","Normal/Others","WS/MP070/2023-2024/7165-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"98","Normal/Others","WS/MP070/2023-2024/7166-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"99","Normal/Others","WS/MP070/2023-2024/7162-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"100","Normal/Others","WS/MP070/2023-2024/7159-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","07-Nov-2023","400000"
"101","Normal/Others","WS/MP070/2023-2024/7161-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"102","Normal/Others","WS/MP070/2023-2024/7157-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2023","400000"
"103","Normal/Others","WS/MP070/2023-2024/7158-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","30-Oct-2023","400000"
"104","Normal/Others","WS/MP224/2023-2024/8581-Development of playground","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Gram Samarbar me khel Maidan Nirman (Jhumradumer me)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","999514"
"105","Normal/Others","WS/MP224/2023-2024/9600-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Tatbandh Nirman _ Ghatapara pahuch marg par","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","1999036"
"106","Normal/Others","WS/MP224/2023-2024/8579-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Gram Maini me Tatbandh Nirman sati tikra marg me","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","998855"
"107","Normal/Others","WS/MP224/2023-2024/9603-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Chabutara Nirman - Mukti dham ke samip","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","199800"
"108","Normal/Others","WS/MP224/2023-2024/8582-Development of playground","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Gram sonpur  Gram panchayat Peta me khel maidan Nirman (Sonpur me)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","999973"
"109","Normal/Others","WS/MP224/2023-2024/8580-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Gram Peta me tatbandh Nirman (Mukhya marg se sukhbasu para pahuch marg)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","999334"
"110","Normal/Others","WS/MP224/2023-2024/9598-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Tatbandh Nirman - Korwa Toli pahuch marg par","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","17-Jan-2026","1999194"
"111","Normal/Others","WS/MP076/2023-2024/2278-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","One water Tanker for Rishi Nagar Hisar ( Capacity 5000 Litrs with motor fitted and new tyers .","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","N/A","01-Jul-2024","153000"
"112","Normal/Others","WS/MP105/2023-2024/18766-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Working agency for purchasing eye cataract treatment equipment - Kalpana Kalyan Samiti Rewa, payment of pending installment","Shri Rajmani Patel (2018-24) (NaN-NaN)","Elected MP","N/A","20-Sep-2023","305000"
"113","Normal/Others","WS/MP042/2023-2024/17663-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","?????????? ?????? ???????? ?????? ?????? ?? ????? ??0-05 ??? ???? ????? ?? ??? ?? ?????? ????? ?? ??? ?? ?? ???????? ??? ??? ??0??0??0 ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","20-Oct-2023","1499027"
"114","Normal/Others","WS/MP042/2023-2024/19097-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","???????????????? ?????? ?? ????? ?????? ???????? ????? ???? ??? ?? ????? ?? ?? ???????? ??? ??? ??0??0??0 ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1495302"
"115","Normal/Others","WS/MP042/2023-2024/17060-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","???????????????? ?????? ?? ????? ?????? ??? ??? ?? ?????? ?? ?? ???????? ??? ??? ??0??0??0 ???? ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","30-Nov-2023","1493766"
"116","Normal/Others","WS/MP042/2023-2024/17669-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??????????? ?????? ????? ??0-15 ??? ??????? ?? ?? ?? ?? ??????? ???????? ?? ???????? ??? ??? ??? ??????, ??0??0??0 ??? ????? ???? ???? ?? ??????? ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1482786"
"117","Normal/Others","WS/MP042/2023-2024/17667-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??? ???? ????? ??0-19 ??? ?????? ????? ??? ?? ?????? ????? ???? ???? ?? ?? ?? ?? ???????? ??? ??? ?????? ?????? ??? ??0??0??0 ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","30-Nov-2023","1471905"
"118","Normal/Others","WS/MP042/2023-2024/17668-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??? ???? ????? ??0-19 ??? ???????? ???? ?? ?? ?? ????? ?????? ?? ?? ?? ?? ???????? ??? ??? ?????? ?????? ??? ??0??0??0 ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","30-Nov-2023","1481107"
"119","Normal/Others","WS/MP042/2023-2024/17058-Renovation of ponds and lakes","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??????????? ?????? ???????? ????? ?????? ?? ?????? ???? ??? ???? ????? ?? ??? ???? ?? ??????? ??? ?? ?? ??? ?? ??????? ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1493211"
"120","Normal/Others","WS/MP177/2023-2024/1651-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Construction of C.C.Road (Ward No. 12)","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1499109"
"121","Normal/Others","WS/MP177/2023-2024/1484-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","CC Road Construction (Ward no. 6)","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"122","Normal/Others","WS/MP177/2023-2024/1486-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","CC Road Construction (Ward No. 20)","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"123","Normal/Others","WS/MP177/2023-2024/1491-Development of playground","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Play Ground levelling work at primary school (Govt.) Dhanuharpara","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"124","Normal/Others","WS/MP177/2023-2024/2411-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","C.C.Road Construction work at Falgopara approach road","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"125","Normal/Others","WS/MP177/2023-2024/1492-Development of playground","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Play ground levelling work","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"126","Normal/Others","WS/MP150/2023-2024/10910-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","gram pilodi ki natho ki dhani m interloking road","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","Images","22-Sep-2023","495000"
"127","Normal/Others","WS/MP193/2023-2024/2310-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Ward 12 Ram Park mai Shamsad ke Makan se Majid Ke Makan Tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","16-May-2024","1211351"
