"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"94","Chhattisgarh","Street lights","WS/MP175/2024-2025/107255","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","Gram Panchayat Kachoud","Payment In-Progress","260000"
"95","West Bengal","Construction of rooms and halls in school and colleges","WS/EXRS013/2024-2025/143805","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Dr. Kanwar Deep Singh (2014-20) (2014-2020)","Elected MP","25-Aug-2026","SUNITA SINGH","Payment In-Progress","2067713"
"96","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP144/2024-2025/23000","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Bhupender Yadav (2018-24) (2018-2024)","Elected MP","25-Aug-2026","Rakesh Singh","Payment In-Progress","672838"
"97","Madhya Pradesh","Construction of community centers and community halls","WS/MP232/2026-2027/275319","GUNA(District Collector Guna_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","27-Aug-2026","Sarpanch Gram panchayat Parsoliya","Payment In-Progress","400000"
"98","Chhattisgarh","Street lights","WS/MP175/2024-2025/105802","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT GIDDHMUDI","Payment In-Progress","258670"
"99","Chhattisgarh","Street lights","WS/MP175/2024-2025/107256","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT CHARWAHI","Payment In-Progress","260000"
"100","Chhattisgarh","Street lights","WS/MP175/2024-2025/107257","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT DIHULI","Payment In-Progress","260000"
"101","Chhattisgarh","Street lights","WS/MP175/2024-2025/107260","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT BADKABEHARA","Payment In-Progress","260000"
"102","Chhattisgarh","Street lights","WS/MP175/2024-2025/107261","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT MUSRA","Payment In-Progress","260000"
"103","Chhattisgarh","Street lights","WS/MP175/2024-2025/107262","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT BIHARPUR","Payment In-Progress","260000"
"104","Chhattisgarh","Street lights","WS/MP175/2024-2025/107263","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT KELHARI","Payment In-Progress","260000"
"105","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/EXRS001/2025-2026/205949","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Satish Chandra Misra (2016-22) (2016-2022)","Elected MP","27-Aug-2026","JITENDRA KUMAR SINGH","Payment In-Progress","2946209"
"106","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/EXRS001/2025-2026/205944","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Satish Chandra Misra (2016-22) (2016-2022)","Elected MP","10-Jul-2026","JITENDRA KUMAR SINGH","Payment In-Progress","2972608"
"107","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218773","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","BABY DEVI","Payment In-Progress","251000"
"108","Jharkhand","Construction of public irrigation facilities","WS/MP083/2025-2026/218431","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"109","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218724","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","500000"
"110","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218398","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"111","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217430","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"112","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217421","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"113","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217481","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"114","Jharkhand","Providing drains and gutters for public drainage","WS/MP083/2025-2026/218402","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"115","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218486","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"116","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218473","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","02-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"117","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218405","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"118","Mizoram","Construction of common work sheds/ common covered sitting area","WS/MP129/2024-2025/165981","LAWNGTLAI(DSC Lawngtlai)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Jun-2025","GOSPEL HMANGAIHZUALA","Payment In-Progress","125000"
"119","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2024-2025/165980","LAWNGTLAI(DSC Lawngtlai)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Jun-2025","GOSPEL HMANGAIHZUALA","Payment In-Progress","600000"
"120","Delhi","Street lights","WS/MP873/2025-2026/90390","SOUTH WEST(COMMISSIONER MCD SOUTH WEST)","Shri Sushil Kumar Gupta (2018-24) (2018-2024)","Elected MP","08-May-2026","Eesl","Payment In-Progress","399919"
"121","Delhi","Construction of rooms and halls in school and colleges","WS/EXNRS001/2025-2026/218150","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri K.T.S. Tulsi (2014-20) (2014-2020)","Nominated MP","03-Sep-2026","Prem Bricks Industry","Payment In-Progress","27000"
"122","Mizoram","Providing drains and gutters for public drainage","WS/MP129/2026-2027/282255","SERCHHIP(Deputy Commissioner Serchhip)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","28-Aug-2026","VCP Mualcheng","Payment In-Progress","500000"
"123","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","DMFT Fund","Payment In-Progress","640"
"124","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP109/2026-2027/208187","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Dr. Bhagwat Karad (2020-26) (2020-2026)","Elected MP","01-Sep-2026","SHIVSHANKAR M S S LTD CHH SAMBHAJINAGAR","Payment In-Progress","999000"
"125","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP109/2026-2027/208186","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Dr. Bhagwat Karad (2020-26) (2020-2026)","Elected MP","01-Sep-2026","SHIVSHANKAR M S S LTD CHH SAMBHAJINAGAR","Payment In-Progress","999000"
"126","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/138380","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","03-Sep-2026","JANARDHAN S C","Payment In-Progress","48844"
"127","Karnataka","Construction of community centers and community halls","WS/MP089/2026-2027/257373","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","04-Sep-2026","JANARDHAN S C","Payment In-Progress","225000"
"128","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","Gurva Purty","Payment In-Progress","268823"
"129","Karnataka","Purchase of hospital equipment","WS/MP087/2026-2027/100479","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","18-Jul-2026","R K Groups","Payment In-Progress","45174"
"130","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","28-Jul-2026","MAA ASHAPURA CONSTRUCTION AND SUPPLIERS","Payment In-Progress","695784"
"131","Uttar Pradesh","Street lights","WS/EXRS001/2025-2026/205985","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Satish Chandra Misra (2016-22) (2016-2022)","Elected MP","21-Jul-2026","Solar Power Enterprises","Payment In-Progress","2910458"
"132","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/EXRS011/2024-2025/143546","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Shri Shiv Pratap Shukla (2016-22) (2016-2022)","Elected MP","24-Aug-2026","Principal Manager Rumali devi balika UMV Khadhadeur","Payment In-Progress","160000"
"133","Rajasthan","Construction of public libraries and reading rooms","WS/MP144/2024-2025/23018","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Bhupender Yadav (2018-24) (2018-2024)","Elected MP","04-Sep-2026","ARATI CONTRACTOR","Payment In-Progress","206150"
"134","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP160/2025-2026/189530","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","03-Sep-2026","Neo Geo Cons","Payment In-Progress","99240"
"135","Karnataka","Lighting of public spaces","WS/MP089/2026-2027/258752","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","07-Aug-2026","HEMANTHA KUMAR M N","Payment In-Progress","399591"
"136","Chhattisgarh","Street lights","WS/MP175/2024-2025/107264","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT GHAGHRA","Payment In-Progress","260000"
"137","Chhattisgarh","Street lights","WS/MP175/2024-2025/107265","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT PENDRI","Payment In-Progress","260000"
"138","Chhattisgarh","Street lights","WS/MP175/2024-2025/107268","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT MAHAI","Payment In-Progress","260000"
"139","Chhattisgarh","Street lights","WS/MP175/2024-2025/107269","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT BULAKITOLA","Payment In-Progress","260000"
"140","Chhattisgarh","Street lights","WS/MP175/2024-2025/107270","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT DUGALA","Payment In-Progress","260000"
"141","Chhattisgarh","Street lights","WS/MP175/2024-2025/107271","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT MANWARI","Payment In-Progress","260000"
"142","Jharkhand","Installing community drinking water plants","WS/MP228/2025-2026/96006","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Shri Dhiraj Prasad Sahu (2018-24) (2018-2024)","Elected MP","15-Jul-2026","District Engineer","Payment In-Progress","249139"
"143","Jharkhand","Installing community drinking water plants","WS/MP228/2025-2026/37083","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Shri Dhiraj Prasad Sahu (2018-24) (2018-2024)","Elected MP","15-Jul-2026","District Engineer","Payment In-Progress","249139"
"144","Himachal Pradesh","Renovation of ponds and lakes","WS/MP080/2025-2026/109570","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Shri Jagat Prakash Nadda (2018-24) (2018-2024)","Elected MP","18-Oct-2025","Gram Panchayat Tabo","Payment In-Progress","90000"
"145","Rajasthan","Construction of community centers and community halls","WS/MP149/2024-2025/10690","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri K.C. Venugopal (2020-24) (2020-2024)","Elected MP","31-Aug-2026","Narayan Singh Ranawat","Payment In-Progress","1508639"
"146","Meghalaya","Construction of community centers and community halls","WS/MP128/2025-2026/135498","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","Dr. Wanweiroy Kharlukhi (2020-26) (2020-2026)","Elected MP","01-Sep-2026","Lion MIssion Compound Dorbar Shnong Jowai","Payment In-Progress","500000"
"147","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/EXRS001/2025-2026/205896","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Satish Chandra Misra (2016-22) (2016-2022)","Elected MP","23-Jun-2026","MAA ASHAMBARI CONSTRUCTION COMPANY","Payment In-Progress","722167"
"148","Gujarat","Providing supply pipelines for drinking water","WS/MP069/2025-2026/237140","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","26-Feb-2026","Dambhaliya Gram Panchayat","Payment In-Progress","350000"
"149","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP069/2025-2026/237149","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","26-Feb-2026","Dambhaliya Gram Panchayat","Payment In-Progress","150000"
"150","Karnataka","Purchase of hospital equipment","WS/MP087/2026-2027/100479","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","18-Jul-2026","M CUBE INFRATECH PRIVATE LIMITED","Payment In-Progress","452739"
"151","Karnataka","Construction of community centers and community halls","WS/MP089/2026-2027/257407","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","02-Sep-2026","Harsha C N","Payment In-Progress","225000"
"152","Karnataka","Construction of rooms and halls in school and colleges","WS/MP093/2025-2026/170408","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","17-Jul-2026","ANANTHAPADMANABHA TRADERS PRIVATE LIMITED","Payment In-Progress","1500000"
"153","Uttar Pradesh","Construction of community centers and community halls","WS/MP194/2023-2024/53490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","04-Nov-2025","DUDA MUZAFFARNAGAR","Payment In-Progress","98425"
"154","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","champalal","Payment In-Progress","42750"
"155","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","DHANA RAM","Payment In-Progress","12825"
"156","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","dinesh","Payment In-Progress","42750"
"157","Chhattisgarh","Street lights","WS/MP175/2024-2025/107266","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT PASOURI","Payment In-Progress","260000"
"158","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","HANSA RAM","Payment In-Progress","42750"
"159","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","HARISH KUMAR","Payment In-Progress","42750"
"160","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","JETI DEVI","Payment In-Progress","12825"
"161","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","JOGA RAM","Payment In-Progress","42750"
"162","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","MANGI LAL","Payment In-Progress","12825"
"163","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","manju","Payment In-Progress","12825"
"164","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","MANJU DEVI","Payment In-Progress","12825"
"165","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","mohnlal","Payment In-Progress","42750"
"166","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2025-2026/199332","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Aug-2026","mukesh kumar","Payment In-Progress","42750"
