"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"9417","Normal/Others","WS/MP184/2023-2024/93504-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from the house of booth president Nandlal Bind to Pitch Road in Gram Sabha- Betwar. Length 106 Meter","01-Feb-2024","484508","17-Feb-2024"
"9418","Normal/Others","WS/MP184/2023-2024/93505-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Girish Singh's house to Pitch Road in Gram Sabha-Jagardevpur. length 120 Meter","01-Feb-2024","486160","17-Feb-2024"
"9419","Normal/Others","WS/MP184/2023-2024/93506-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Madhubala's house to Ajay Patel's house in Gram Sabha-Darekhu. length 79 Meter","01-Feb-2024","585000","17-Feb-2024"
"9420","Normal/Others","WS/MP184/2023-2024/93507-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from the house of Pura Jeet Narayan of Dariya to the pucca drain in Gram Sabha Jamin Bairvan. length 47 Meter","01-Feb-2024","273497","17-Feb-2024"
"9421","Normal/Others","WS/MP184/2023-2024/93508-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Gram Sabha- Bhullanpur Interlocking work from Sanjay Pandey's shop to UP Singh's house. length 129 Meter","01-Feb-2024","790212","17-Feb-2024"
"9422","Normal/Others","WS/MP184/2023-2024/93511-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Gopal Pandit's house to Virju Patel's farm in Gram Sabha Jagatpur. Length 105 Meter","01-Feb-2024","597134","17-Feb-2024"
"9423","Normal/Others","WS/MP184/2023-2024/93539-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from the field of Hausila Singh to the field of Deepak Guru in Gram Sabha Khulaspur. length 124 meter","01-Feb-2024","886901","17-Feb-2024"
"9424","Normal/Others","WS/MP184/2023-2024/93540-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from the house of Suresh Pandey of Tubel to the house of Harishankar Tiwari in Ward No. 19 Awaleshpur. length 88 Meter","01-Feb-2024","696707","17-Feb-2024"
"9425","Normal/Others","WS/MP184/2023-2024/93541-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Shambhu Prasad's house to Bablu Sonkar's house in the hill of Ward No. 38. length 56 Meter","01-Feb-2024","365702","17-Feb-2024"
"9426","Normal/Others","WS/MP184/2023-2024/93542-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Manna Pathak Vatika to Pankaj Singh's house in Gayatri Nagar Colony in Ward No. 23 Seergovardhan. length 78 Meter","01-Feb-2024","654732","17-Feb-2024"
"9427","Normal/Others","WS/MP043/2023-2024/93558-Construction of rooms and halls in school and colleges","Bihar","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","Shri Ahmad Ashfaque Karim (2018-24) (2018-2024)","Elected MP","Construction of two class rooms 50x25 with 8 feet Varanda in Rameshwer Yadav Manihari College, Katihar","01-Feb-2024","1582835","14-Mar-2024"
"9428","Normal/Others","WS/MP184/2023-2024/93596-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from near Ekta Inter Prizes to near the lawyer's house in Ward No. 38 Jalalipatti. length 71.90 Meter","01-Feb-2024","222029","17-Feb-2024"
"9429","Normal/Others","WS/MP184/2023-2024/93597-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Virbhadra's house to Ramdular Yadav's house from Ward No. 19 Kandwa Pal Basti Southern Puru Road. length 53 Meter","01-Feb-2024","435186","17-Feb-2024"
"9430","Normal/Others","WS/MP184/2023-2024/93598-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Ward No. 19 Kandwa Neelkanthpur Colony Rajesh Singh's house to the turn leading to Janaki Patel's house. length 86 Meter","01-Feb-2024","711984","17-Feb-2024"
"9431","Trust and Society","WS/MP065/2023-2024/93603-Construction of rooms and halls in school and colleges","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Naranbhai J. Rathwa (2018-24) (2018-2024)","Elected MP","BHAVNAGAR JILLA NA UMRALA TALUKA NA LIMDA(HANUBHANA) GAME NAVJIVAN ANUDANIT NIVASI PRATHMIK SHALA (ASHRAM SHALA BAXIPANCH) MATE PRARTHNA KHAND NU BANDHKAM.","01-Feb-2024","495000","02-Mar-2024"
"9432","Normal/Others","WS/MP043/2023-2024/93605-Construction of common work sheds/ common covered sitting area","Bihar","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","Shri Ahmad Ashfaque Karim (2018-24) (2018-2024)","Elected MP","Construction of common Shed area 60x20 RCC in South in  Rampara Kabristan Campus, Katihar","01-Feb-2024","1493387","14-Mar-2024"
"9433","Trust and Society","WS/MP065/2023-2024/93619-Construction of rooms and halls in school and colleges","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Naranbhai J. Rathwa (2018-24) (2018-2024)","Elected MP","BHAVNAGAR JILLA NA UMRALA TALUKA NA LIMDA(HANUBHANA) GAME NAVJIVAN ANUDANIT NIVASI PRATHMIK SHALA (ASHRAM SHALA BAXIPANCH) MATE YOGA KHAND NU BANDHKAM.","01-Feb-2024","437000","02-Mar-2024"
"9434","Normal/Others","WS/MP184/2023-2024/93623-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Alauddinpur Pyarelal Pradhan's farm to Brijmohan's house. length 150 Meter","01-Feb-2024","878764","17-Feb-2024"
"9435","Normal/Others","WS/MP184/2023-2024/93624-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from the main road in Sarhari- Manorathpur to the house of Suresh Vishwakarma. length 105 Meter","01-Feb-2024","652042","17-Feb-2024"
"9436","Normal/Others","WS/MP184/2023-2024/93625-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Road construction from Bhairam's house to Pappi Pandit ji's house in Ramrajpur. length 110 Meter","01-Feb-2024","164492","17-Feb-2024"
"9437","Normal/Others","WS/MP184/2023-2024/93626-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Road construction from Bhola Pradhan's house to Avadh Narayan's house in Bankat. length 110 meter","01-Feb-2024","536512","17-Feb-2024"
"9438","Normal/Others","WS/MP184/2023-2024/93629-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","In Sikraul Ward, interlocking work in the kachhi street from house of S. No. S-2/410-B Ramsurat Singh to house of S-2/411 Jaihind. length 52 Meter","01-Feb-2024","261403","17-Feb-2024"
"9439","Normal/Others","WS/MP087/2023-2024/93691-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing Solar Light in Balaji Layout in Kadabagere Village , Bangalore North taluk","01-Feb-2024","500000","29-Feb-2024"
"9440","Normal/Others","WS/MP087/2023-2024/93692-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing Solr Light in Janapriya Kadabagere Vilage , Bangalore North taluk","01-Feb-2024","500000","29-Feb-2024"
"9441","Normal/Others","WS/MP087/2023-2024/93693-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing Solar Light in Machohalli Vilage , Bangalore North taluk","01-Feb-2024","500000","29-Feb-2024"
"9442","Normal/Others","WS/MP087/2023-2024/93694-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing Solar Light in Machohalli Gramapanchayath  in Bangalore North taluk","01-Feb-2024","500000","29-Feb-2024"
"9443","Normal/Others","WS/MP087/2023-2024/93695-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing Solar Light in Seegehalli Vilalge in Bangalore Northt Taluk","01-Feb-2024","500000","29-Feb-2024"
"9444","Normal/Others","WS/MP087/2024-2025/93696-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Providing CC Road and Drain in Gandhi Grama , H.Mal;ligere Village, at Mandya Taluk , Mandya Dist","01-Feb-2024","500000","19-Oct-2024"
"9445","Normal/Others","WS/MP087/2026-2027/93697-Construction of buildings for community cultural activities","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Construction of Kadhi and Gramodyog Institute of Building in  Hungund taluk Sulibhavi vilage at Bagalkote District","01-Feb-2024","250000","13-Aug-2026"
"9446","Normal/Others","WS/MP087/2023-2024/93698-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Formation and improvements to the road from Krishnamurthy's house to Ramesh's house in Donekal Village in Hesarghatta Panchayath Limits  , Yelahanka  Taluk, Bangalore Urban District, Bangalore","01-Feb-2024","499670","13-Mar-2024"
"9447","Normal/Others","WS/MP087/2023-2024/93699-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Formation and improvements to the road from Nethravathi's house to Sri.Rangaiah's house in Donekal Village in Hesarghatta Panchayath Limits  , Yelahanka  Taluk, Bangalore Urban District, Bangalore","01-Feb-2024","499670","13-Mar-2024"
"9448","Normal/Others","WS/MP087/2023-2024/93700-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Formation and improvements to the road from Mahesh's house to Shrinivas's  house in Donekal Village in Hesarghatta Panchayath Limits  , Yelahanka  Taluk, Bangalore Urban District, Bangalore.","01-Feb-2024","499670","13-Mar-2024"
"9449","Normal/Others","WS/MP087/2023-2024/93701-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Formation and improvements to the road from Chandra Mouli's house to Krishna Kumar's  house in Donekal Village in Hesarghatta Panchayath Limits  , Yelahanka  Taluk, Bangalore Urban District, Bangalore.","01-Feb-2024","499669","13-Mar-2024"
"9450","Normal/Others","WS/MP087/2023-2024/93702-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","Formation and improvements to the road from Danush's house to Anil Kumar's  house in Donekal Village in Hesarghatta Panchayath Limits  , Yelahanka  Taluk, Bangalore Urban District, Bangalore.","01-Feb-2024","499669","13-Mar-2024"
"9451","Trust and Society","WS/MP060/2024-2025/93715-Construction of toilet blocks","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","Construction of Toilet Blocks (Male & Female) in D.R.G.D. Sarvajanik Vidyalaya managed by SAYAN VIBHAG KELAVIM ANDAL SAYAN","01-Feb-2024","500000","12-Sep-2024"
"9452","Normal/Others","WS/MP060/2023-2024/93725-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","Construction of remaining CC Road work from Sureshbhai Desai's house in Desai faliya","01-Feb-2024","250000","02-Mar-2024"
"9453","Normal/Others","WS/MP008/2023-2024/93726-Development of public parks","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Development of Park and Boundary Wall in Pandit Ramprasad Bismil Janmsthali under Gram panchayat Barbai","01-Feb-2024","1500000","01-Mar-2024"
"9454","Normal/Others","WS/MP060/2023-2024/93728-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","Construction of CC Road near Gram Panchayat to Yogeshbhai Babubhai Desai's farm","01-Feb-2024","250000","02-Mar-2024"
"9455","Normal/Others","WS/MP008/2023-2024/93729-Construction of community centers and community halls","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Development of Community hall in Devgarh under Gram panchayat Gopi, Ambah Block,","01-Feb-2024","1000000","26-Feb-2024"
"9456","Normal/Others","WS/MP060/2023-2024/93730-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","Work of laying Paver Blocks of both side of Main Road and Mataji Temple way towards","01-Feb-2024","250000","02-Mar-2024"
"9457","Normal/Others","NA-Construction of community centers and community halls","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Construction of Community hall in Pilimati Devgarh under Gram Panchayat kachnodha, Ambah Block, District Morena","01-Feb-2024","1000000","NA"
"9458","Normal/Others","WS/MP008/2023-2024/93741-Construction of community centers and community halls","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Development of Community Hall in Gram Panchayat Mahuri, Ambah Block, District Morena","01-Feb-2024","1000000","26-Feb-2024"
"9459","Normal/Others","WS/MP008/2023-2024/93755-Construction of community centers and community halls","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Development of Community Hall in Baghel ka Pura under Gram Panchayat Manpur Rajputi, Ambah Block, Morena District","01-Feb-2024","1000000","26-Feb-2024"
