"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"219","Telangana","Shri V. Lakshmikantha Rao (2016-22) (2016-2022)","Elected MP","68980756"
"220","Maharashtra","Shri V. Muraleedharan (2018-24) (2018-2024)","Elected MP","142163957.11"
"221","Andhra Pradesh","Shri V. Vijayasai Reddy (2022-25) (2022-2025)","Elected MP","122563957.11"
"222","Tamil Nadu","Shri Vaiko (2019-25) (2019-2025)","Elected MP","191163957.11"
"223","Andhra Pradesh","Shri Venkataramana Rao Mopidevi (2020-24) (2020-2024)","Elected MP","149550829.11"
"224","Uttar Pradesh","Shri Vijay Pal Singh Tomar (2018-24) (2018-2024)","Elected MP","73563957.11"
"225","Maharashtra","Shri Vikas Mahatme (2016-22) (2016-2022)","Elected MP","68600000"
"226","Goa","Shri Vinay Dinu Tendulkar (2017-23) (2017-2023)","Elected MP","135628430"
"227","Uttar Pradesh","Shri Vishambhar Prasad Nishad (2016-22) (2016-2022)","Elected MP","26676222"
"228","Bihar","Shri Vivek Thakur (2020-24) (2020-2024)","Elected MP","75293650.11"
"229","Chhattisgarh","Smt. Chhaya Verma (2016-22) (2016-2022)","Elected MP",""
"230","Uttar Pradesh","Smt. Jaya Amitabh Bachchan (2018-24) (2018-2024)","Elected MP","142163957.11"
"231","Bihar","Smt. Kahkashan Perween (2014-20) (2014-2020)","Elected MP","34347077.65"
"232","Uttar Pradesh","Smt. Kanta Kardam (2018-24) (2018-2024)","Elected MP","73563957.11"
"233","Haryana","Smt. Kiran Choudhry (2024-26) (2024-2026)","Elected MP","73500000"
"234","Odisha","Smt. Mamata Mohanta (2020-24) (2020-2024)","Elected MP","122563957.11"
"235","Odisha","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","73500000"
"236","West Bengal","Smt. Mausam B Noor (2020-26) (2020-2026)","Elected MP","215663957.11"
"237","Bihar","Smt. Misha Bharti (2016-22) (2016-2022)","Elected MP","24500000"
"238","Bihar","Smt. Misha Bharti (2022-24) (2022-2024)","Elected MP",""
"239","Chhattisgarh","Smt. Phulo Devi Netam (2020-26) (2020-2026)","Elected MP","195401594.87"
"240","Maharashtra","Smt. Priyanka Chaturvedi (2020-26) (2020-2026)","Elected MP","196063957.11"
"241","Maharashtra","Smt. Rajani Ashokrao Patil (2021-26) (2021-2026)","Elected MP","196063957.11"
"242","Gujarat","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","196063957.11"
"243","Telangana","Smt. Renuka Chowdhury (2012-18) (2012-2018)","Elected MP","3526820"
"244","Delhi","Smt. Roopa Ganguly (2016-22) (2016-2022)","Nominated MP","14809996"
"245","Madhya Pradesh","Smt. Sampatiya Uikey (2017-22) (2017-2022)","Elected MP","2510129"
"246","West Bengal","Smt. Shanta Chhetri (2017-23) (2017-2023)","Elected MP","49000000"
"247","Maharashtra","Smt. Sunetra Ajit Pawar (2024-28) (2024-2026)","Elected MP","98000000"
"248","Maharashtra","Smt. Vandana Chavan (2018-24) (2018-2024)","Elected MP","98063957.11"
"Grand Total"," "," "," ","24,97,73,02,945.45"
