"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"5131","Normal/Others","WS/MP136/2023-2024/37644-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Sarpanch Bhawan in M. Rampur Block","17-Oct-2023","22-Feb-2024","1000000","Vendor Identification"
"5132","Normal/Others","WS/MP136/2023-2024/37645-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of a community hall at Rajapada, Upher","17-Oct-2023","28-Feb-2024","500000","Vendor Identification"
"5133","Normal/Others","WS/MP136/2023-2024/37646-Construction of rooms and halls in school and colleges","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of addl. Class Room in Ghantmal UGME School","17-Oct-2023","28-Feb-2024","650000","Physical Inspection"
"5134","Normal/Others","WS/MP136/2023-2024/37647-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of CC Road from Thuapadar to Minapada","17-Oct-2023","28-Feb-2024","500000","Physical Inspection"
"5135","Normal/Others","WS/MP136/2023-2024/37648-Construction of public libraries and reading rooms","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of library-cum-legal aid centre in Kalahandi Law College","17-Oct-2023","15-Mar-2024","1000000","Physical Inspection"
"5136","Normal/Others","WS/MP136/2023-2024/37649-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Community Hall in ward no 7 of Bhawanipatna Municipality","17-Oct-2023","07-Mar-2024","400000","Sanction"
"5137","Normal/Others","WS/MP136/2023-2024/37650-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Community Hall at Palace Road","17-Oct-2023","07-Mar-2024","500000","Physical Inspection"
"5138","Normal/Others","WS/MP136/2023-2024/37651-Purchase of furniture and fixtures for educational purposes","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Supply of Bench Desks to JP Sandhya College, Bhawanipatna","17-Oct-2023","15-Mar-2024","1000000","Physical Inspection"
"5139","Normal/Others","WS/MP136/2023-2024/37652-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Dakhina Soundhika Mahasangha Community Hall in Jorpada","17-Oct-2023","15-Mar-2024","500000","Physical Inspection"
"5140","Normal/Others","WS/MP136/2023-2024/37653-Construction of rooms and halls in school and colleges","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Addl Classroom in Srarswati Sishu Mandir, Balaji Vihar","17-Oct-2023","15-Mar-2024","700000","Physical Inspection"
"5141","Normal/Others","WS/MP136/2023-2024/37654-Construction of public libraries and reading rooms","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Const. of Chitragupta Community Centre & Reading Room of Kalahandi Karan Samaj in Bhawanipatna","17-Oct-2023","15-Mar-2024","500000","Physical Inspection"
"5142","Normal/Others","WS/MP136/2023-2024/37656-Installation of multi-gym equipment","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Supply and Installation of Gym Equipments at Gobra","17-Oct-2023","15-Mar-2024","500000","Physical Inspection"
"5143","Normal/Others","WS/MP193/2023-2024/37657-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Kirana Mandi Ghaziabad mai Ambedkar - Raka Park se Aditya Ki Dukan tak Interlocking Tiles","17-Oct-2023","01-Dec-2023","923676","Physical Inspection"
"5144","Normal/Others","WS/MP193/2023-2024/37658-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Swarn Jayanti Puram mai Makan no. 26B se Makan No. 13B tak Interlocking Tiles","17-Oct-2023","13-Dec-2023","478973","Physical Inspection"
"5145","Normal/Others","WS/MP193/2023-2024/37710-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Ward 80 Shalimar Garden Ext 2 mai Texla Apartment ki Service Road par A1 se A6 tak Nali Sahit Interlocking Tiles","17-Oct-2023","13-Dec-2023","873025","Physical Inspection"
"5146","Normal/Others","WS/MP193/2023-2024/37711-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Ward 80 Shalimar Garden Ext 2 mai Makan no 59 se Makan no A137 tak Dayi Patri par Interlocking Tiles","17-Oct-2023","13-Dec-2023","759265","Physical Inspection"
"5147","Normal/Others","WS/MP193/2023-2024/37720-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Gram Manota Choudhary Sarvwachan Singh ke makan se Harpal ke Makan se hote hue Raju ke Makan tak CC Road","17-Oct-2023","02-Nov-2023","997630","Physical Inspection"
"5148","Normal/Others","WS/MP193/2023-2024/37728-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Raj Nagar Ext. Cricket Academy se Ramanuj Hospital Ki ore 100 meter CC Road","17-Oct-2023","01-Dec-2023","978980","Physical Inspection"
"5149","Normal/Others","WS/MP193/2023-2024/37729-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Raj Nagar Ext. mai Rakesh Tyagi ke Khet se Ramanuj Hospital Tak CC Sadak","17-Oct-2023","01-Dec-2023","907757","Physical Inspection"
"5150","Normal/Others","WS/MP086/2023-2024/37738-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2018-24) (2018-2024)","Elected MP","Development work of Government Senior Primary School Building near Chandrappa Circle under Ajjanahalli Panchayat, Bangalore Dakshina Taluk","17-Oct-2023","15-Mar-2024","500000","Physical Inspection"
"5151","Normal/Others","WS/MP086/2023-2024/37747-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2018-24) (2018-2024)","Elected MP","Construction work of Government Primary School near Chandrappa Circle under Ajjanahalli Panchayat, Bangalore Dakshina Taluk","17-Oct-2023","15-Mar-2024","500000","Physical Inspection"
"5152","Trust and Society","WS/MP086/2026-2027/37751-Construction of night shelters for homeless","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2018-24) (2018-2024)","Elected MP","Homeless night shelter","17-Oct-2023","14-May-2026","500000","Sanction"
"5153","Normal/Others","WS/MP048/2023-2024/37756-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Gopal Kumar's father Ramsevak Singh in Vaikatpur Ward No. 06.","17-Oct-2023","03-Feb-2024","79077","Physical Inspection"
"5154","Normal/Others","WS/MP048/2023-2024/37757-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Akhilesh Kumar's father Surendra Singh in Vaikatpur Ward No. 06.","17-Oct-2023","29-Jan-2024","79177","Physical Inspection"
"5155","Normal/Others","WS/MP048/2023-2024/37758-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Premjit Kumar Saurav in Vaikatpur Ward No. 03.","17-Oct-2023","29-Jan-2024","78807","Physical Inspection"
"5156","Normal/Others","WS/MP048/2023-2024/37759-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Raju Kumar's father Tuntun Singh in Vaikatpur Ward No. 14.","17-Oct-2023","29-Jan-2024","78625","Physical Inspection"
"5157","Normal/Others","WS/MP048/2023-2024/37760-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near Bhuttu Gop in Vaikatpur Ward No. 16.","17-Oct-2023","30-Jan-2024","79087","Physical Inspection"
"5158","Normal/Others","WS/MP048/2023-2024/37761-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near Naresh Panda (Swami ji) in Vaikatpur Ward No. 02.","17-Oct-2023","30-Jan-2024","78670","Physical Inspection"
"5159","Normal/Others","WS/MP048/2023-2024/37762-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Sanjeet Singh's father Virendra Singh in Vaikatpur Ward No. 07.","17-Oct-2023","30-Jan-2024","78802","Physical Inspection"
"5160","Normal/Others","WS/MP048/2023-2024/37763-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Madhu Mochi's father Prabhu Mochi in Chhoti Nawada Ward No. 09.","17-Oct-2023","03-Feb-2024","78846","Physical Inspection"
"5161","Normal/Others","WS/MP048/2023-2024/37764-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Shiv Shankar's father Sakaldeep Gop in Vaikatpur Ward No. 16.","17-Oct-2023","29-Jan-2024","79179","Physical Inspection"
"5162","Normal/Others","WS/MP048/2023-2024/37765-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Shivaji Gop's father Mallu Gop in Vaikatpur Ward No. 16.","17-Oct-2023","29-Jan-2024","78625","Physical Inspection"
"5163","Normal/Others","WS/MP048/2023-2024/37766-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at a public place near Akhilesh Manjhi in Maslanpur Ward No. 02.","17-Oct-2023","29-Jan-2024","78984","Physical Inspection"
"5164","Normal/Others","WS/MP048/2023-2024/37767-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near Bundela Manjhi in Maslanpur Ward No. 02.","17-Oct-2023","27-Jan-2024","78918","Physical Inspection"
"5165","Normal/Others","WS/MP048/2023-2024/37768-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near Gunjan Singh in Maslanpur Ward No. 02","17-Oct-2023","03-Feb-2024","79126","Physical Inspection"
"5166","Normal/Others","WS/MP048/2023-2024/37769-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near turn in Harivigha Ward No. 03","17-Oct-2023","03-Feb-2024","79009","Physical Inspection"
"5167","Normal/Others","WS/MP048/2023-2024/37770-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","Construction work of hand pump at public place near Kaushal Yadav in Harinagar Ward No. 3","17-Oct-2023","27-Jan-2024","78779","Physical Inspection"
"5168","Normal/Others","WS/MP069/2023-2024/37806-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","For the work of laying paver blocks in scheduled caste crematorium at Tavi village of Lakhtar taluka","17-Oct-2023","30-Dec-2023","499368","Physical Inspection"
"5169","Normal/Others","WS/MP199/2023-2024/37841-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Interlocking road and Side Patri","17-Oct-2023","17-Nov-2023","2458304","Physical Inspection"
"5170","Normal/Others","WS/MP199/2023-2024/37842-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Interlocking road and Drain Work","17-Oct-2023","17-Nov-2023","2669727","Physical Inspection"
"5171","Normal/Others","WS/MP199/2023-2024/37843-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Damar Road","17-Oct-2023","17-Nov-2023","812113","Physical Inspection"
"5172","Normal/Others","WS/MP199/2023-2024/37844-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Interlocking road and Drain Work","17-Oct-2023","17-Nov-2023","977050","Physical Inspection"
"5173","Normal/Others","WS/MP199/2023-2024/37845-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Interlocking road and Drain Work","17-Oct-2023","17-Nov-2023","1761000","Sanction"
"5174","Normal/Others","WS/MP199/2023-2024/37848-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","Interlocking road and Drain Work","17-Oct-2023","17-Nov-2023","804864","Physical Inspection"
